Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE
2002-07-31,38.6401481628418,11.808724403381348,,6.619999885559082,12.310253143310547,3.2017173767089844,11.933783531188965,8.029999732971191,15.712389945983887,1.5725859403610232,10.560462951660156,11.659103393554688,26.24692153930664,1.0599999427795408,5.283160209655762,10.946724891662598,23.02609062194824,3.877500057220459,2.3499999046325684,
2002-08-01,37.503944396972656,11.380972862243652,,6.289999961853027,12.302790641784668,3.0902371406555176,8.382535934448242,7.730000019073486,15.19343090057373,1.62628436088562,10.093134880065918,10.967462539672852,26.28250503540039,1.100000023841858,5.238194942474365,10.924505233764648,23.12213516235352,3.5274999141693115,2.490000009536743,
2002-08-02,36.8099250793457,11.440858840942385,,6.25,12.198342323303224,3.0021674633026123,8.691341400146483,7.309999942779541,14.746383666992188,1.6492974758148191,10.032607078552246,10.399331092834473,24.91233062744141,1.0099999904632568,4.99090051651001,10.483820915222168,22.61518478393555,3.432499885559082,2.1800000667572017,
2002-08-05,35.83647918701172,10.793527603149414,,5.550000190734863,11.400039672851562,2.915212392807007,8.317787170410156,7.570000171661378,13.692849159240724,1.5802570581436155,9.854415893554688,9.68298625946045,24.325109481811523,0.959999978542328,4.83577823638916,10.52085018157959,22.0655460357666,3.2374999523162837,2.3499999046325684,
2002-08-06,37.25213623046875,10.85626983642578,,6.0,12.138654708862305,3.032266855239868,8.661456108093263,8.319999694824219,14.11488437652588,1.5035455226898191,10.15364933013916,10.047330856323242,25.49360466003418,1.0599999427795408,4.957178592681885,10.835623741149902,22.513792037963867,3.470000028610229,2.3499999046325684,
2002-08-07,38.01676940917969,11.36671257019043,,6.0,12.295330047607422,3.1192214488983154,8.776012420654299,8.600000381469728,14.36497974395752,1.3808071613311768,10.21752643585205,10.417858123779297,26.32996368408203,1.1100000143051147,5.071833610534668,11.094849586486816,23.212852478027344,3.315000057220459,2.5199999809265137,
2002-08-08,38.75375747680664,11.62051010131836,,6.0900001525878915,12.452008247375488,3.052333116531372,8.850723266601562,8.9399995803833,14.69324016571045,1.6032705307006836,10.620985984802246,10.62164306640625,27.00615692138672,1.0700000524520874,5.361845016479492,11.391109466552734,22.946029663085934,3.5374999046325684,2.440000057220459,
2002-08-09,38.7384147644043,11.500743865966795,,5.510000228881836,12.325172424316404,3.102499723434448,8.82083797454834,8.829999923706055,15.255956649780273,1.7260093688964844,10.758830070495604,10.325223922729492,27.071399688720703,1.0199999809265137,5.32587480545044,11.368890762329102,22.57783317565918,3.3824999332427983,2.3499999046325684,
2002-08-12,38.57873916625977,11.617658615112305,,5.929999828338622,12.265485763549805,2.9977078437805176,9.015088081359863,8.829999923706055,15.255956649780273,1.641626477241516,10.473051071166992,10.164663314819336,26.66212654113769,0.959999978542328,5.080825328826903,11.428141593933105,22.81797218322754,3.515000104904175,2.450000047683716,
2002-08-13,38.07818222045898,11.269756317138672,,5.610000133514403,12.02674388885498,2.8973755836486816,8.900530815124512,8.5,15.634231567382812,1.610942006111145,10.176610946655273,9.812667846679688,26.60280036926269,0.8899999856948853,5.116796016693115,11.24298095703125,22.34303855895996,3.172499895095825,2.369999885559082,
2002-08-14,38.8551025390625,11.409488677978516,,5.920000076293945,12.123733520507812,3.044529438018799,9.59783172607422,9.050000190734863,15.66236972808838,1.6032705307006836,10.611161231994627,9.905295372009276,27.15444374084473,0.8999999761581421,5.341612339019775,11.51702117919922,22.711238861083984,3.2374999523162837,2.4300000667572017,
2002-08-15,38.93800354003906,11.492185592651367,,5.570000171661377,12.765357971191404,3.0344965457916264,9.931537628173828,9.100000381469727,15.896831512451172,1.549572467803955,10.435993194580078,9.899124145507812,26.994279861450195,0.8000000119209291,5.303393363952637,11.424440383911133,22.449752807617188,3.182499885559082,2.3499999046325684,
2002-08-16,38.87045669555664,11.392379760742188,,5.9099998474121085,13.362215995788574,3.051218748092652,10.03115177154541,9.93000030517578,16.162559509277347,1.5649149417877195,10.307990074157717,9.855894088745117,26.798542022705078,0.8399999737739563,5.449523448944092,11.498499870300293,22.99406433105469,3.127500057220459,2.440000057220459,
2002-08-19,39.705711364746094,11.406641006469727,,5.78000020980835,13.95907497406006,3.354444980621338,10.399724006652832,10.5,16.740915298461914,1.5955994129180908,10.516843795776367,10.769853591918944,27.75946044921875,0.8700000047683716,5.469756603240967,11.476285934448242,22.78594207763672,3.002500057220459,2.380000114440918,
